code,name,series,image,description
led-kdhm2,フラット面照明,KDHM2 series,/product/led/images/pic_led10.jpg,KDHM2は、LEDを高密度に実装したフラット照明です。高密度に実装することにより、高均一度を実現。ユニット化により、30mm単位での製作が可能。
led-kdfl2,導光型面照明,KDFL2 series,/product/led/images/pic_led11.jpg,KDFL2は、導光板を使用したフラット照明です。導光板を使用し、LED数を少なくすることにより、省電力。独自の光学設計を用いた、高均一度タイプもラインナップ。
led-pl_plh2_plh3,マクロ同軸照明,PL/PLH2/PLH3 series,/product/led/images/pic_led12.jpg,PLシリーズは、テレセントリックレンズに挿入して、同軸落射照明として使用頂けるスポット照明です。先端部の形状変更により、出射パターンの選択可能。
led-pls2_pls3_plsf,スポット照明,PLS2/PLS3/PLSF series,/product/led/images/pic_led13.jpg,PLSシリーズは、離れたワークに対して平行光を照射可能なスポット照明です。
led-lfm-15w,ファイバー引き出し型照明,LFM-15W series,/product/led/images/pic_led14.jpg,LFM-15Wはハロゲン100W相当の照度を実現した、ファイバー用の照明です。LEDの採用によりメンテナンスフリーを実現。
led-luv,UVスポット照明,LUV series,/product/led/images/pic_led15.jpg,LUVは、UN接着やUV硬化に適したハイパワーなUV照明です。波長は365nmと385nmの2種類をラインナップ。用途に合わせて先端レンズの選択が可能。
led-kduv_l,UVライン照明,KDUV series,/product/led/images/pic_led16.jpg,KDUVは、ハイパワーUVLEDを使用したUVライン照明です。フレキ基板等の接着範囲の広いワークのUV接着に適した照明です。
led-ir,IR照明,IR Lighting,/product/led/images/pic_led17.jpg,当社照明全てにおいて、IRを搭載可能。IR照明は可視光では検出できないワークの検査に最適。850nmをはじめ、各種波長をラインナップ。
led-uv,UV照明,UV Lighting,/product/led/images/pic_led18.jpg,UV照明は短波長で散乱率が高い為、表面検査に最適。365nmをはじめ、各種波長をラインナップ。
led-r_box,抵抗BOX,Resistance Box,/product/led/images/pic_led19.jpg,マクロ同軸照明PLシリーズ、スポット照明PLSシリーズ用の抵抗BOXです。
led-dla,DINレール取付LED点灯電源,DLA series,/product/led/images/pic_led31.jpg,DIN取付型4ch出力超小型電源。配線不要で最大8台（32ch）を連結可能。
led-dcm,DINレール取付通信ユニット,DCM ディーコム,/product/led/images/pic_led32.jpg,電源DLAを最大4台（16ch）制御可能。
led-lga_302,ストロボ制御点灯電源,LGA-302 series,/product/led/images/pic_led33.jpg,当社製12V照明を接続可能なストロボ発光用電源 通信機能搭載(オプション)
led-lpa,マクロ同軸照明・スポット照明専用点灯電源,LPA series,/product/led/images/pic_led34.jpg,PLS2/PLS3/PLH2/PLH3専用電源。各種照明を抵抗BOX無でフリー接続可能。
led-lek,PWM制御点灯電源,LEK series,/product/led/images/pic_led26.jpg,LEKは、PWM制御の電源です。電源容量は30W・50W・100Wをラインアップ。30W・50Wについては最大8chまで標準ラインアップ。オプションで各種通信機能も搭載可能。
led-lda,定電流制御点灯電源,LDA series,/product/led/images/pic_led27.jpg,LDAは、定電流制御の電源です。電源容量は30W・50W・100Wをラインアップ。特許出願中の独自の機能により、当社12V照明を接続可能。オプションで各種通信機能も搭載可能。
led-lfa,ストロボ制御点灯電源,LFA series,/product/led/images/pic_led28.jpg,LFAは、ストロボ点灯の電源です。発光時間が10μs〜1500μsの範囲で設定可能。また、定電流制御により調光も可能。
led-lla,高出力型定電流制御点灯電源,LLA series,/product/led/images/pic_led29.jpg,LLAは、KDPL2シリーズ専用の定電流制御の電源です。照明長に合わせて3種類の容量をラインナップ。オプションで各種通信機能も搭載可能。
led-lee,LED照明用点灯電源,LEE series,/product/led/images/pic_led35.jpg,
uv-uv_led,,UV-LED 照射器,/product/uv/images/pic_uv01.jpg,UV硬化用のLED照射器。
fluorescent-lst,蛍光灯灯具,LST series,/product/fluorescent/images/pic_fluorescent01.jpg,
fluorescent-lsts,蛍光灯灯具,LSTS series,/product/fluorescent/images/pic_fluorescent02.jpg,
fluorescent-ulst,蛍光灯灯具,ULST series,/product/fluorescent/images/pic_fluorescent03.jpg,
fluorescent-hlst,蛍光灯灯具,HLST series,/product/fluorescent/images/pic_fluorescent04.jpg,
fluorescent-lsj,高周波蛍光灯点灯電源,LSJ series,/product/fluorescent/images/pic_fluorescent06.jpg,
fluorescent-lsc_da1,8bit D/A変換装置,LSC-DA1 series,/product/fluorescent/images/pic_fluorescent08.jpg,
fluorescent-lsc_sn1,光量一定制御用センサーボード,LSC-SN1 series,/product/fluorescent/images/pic_fluorescent09.jpg,
